date,lesson,views,name
2020/07/26 18:36:18,2-23,2495,Parametric vs. Non-parametric
2020/07/26 18:36:18,2-24,2358,Classical ML vs. Deep Learning
2020/07/26 18:36:18,2-25,2468,Approaches to Machine Learning
2020/07/26 18:36:18,2-26,2437,The Trade-Offs
2020/07/26 18:36:18,2-27,2230,Overfitting vs. Underfitting
2020/07/26 18:36:18,2-28,2204,Bias vs. Variance Trade-off
2020/07/26 18:36:18,2-29,2310,Lesson Summary
2020/07/26 18:36:18,3-0,2545,Lesson Overview
2020/07/26 18:36:18,3-1,2407,Data Import and Transformation
2020/07/26 18:36:18,3-2,2347,"Lab: Import, Transform, and Export Data"
2020/07/26 18:36:18,3-3,2150,Managing Data
2020/07/26 18:36:18,3-4,1847,Datastores vs. Datasets
2020/07/26 18:36:18,3-5,1890,The Data Access Workflow
2020/07/26 18:36:18,3-6,1877,More About Datasets
2020/07/26 18:36:18,3-7,1636,More About Datasets (2)
2020/07/26 18:36:18,3-8,1725,Lab: Create and Version a Dataset
2020/07/26 18:36:18,3-9,1634,Introducing Features
2020/07/26 18:36:18,3-10,1801,Feature Engineering
2020/07/26 18:36:18,3-11,1616,Examples of Feature Engineering Tasks
2020/07/26 18:36:18,3-12,1568,Summary of Feature Engineering Approaches by Data Type
2020/07/26 18:36:18,3-13,1660,Feature Selection
2020/07/26 18:36:18,3-14,1573,Feature Selection (2)
2020/07/26 18:36:18,3-15,1610,Walkthrough: Engineer and Select Features
2020/07/26 18:36:18,3-16,1317,Walkthrough: Engineer and Select Features (2)
2020/07/26 18:36:18,3-17,1584,Data Drift
2020/07/26 18:36:18,3-18,1483,Monitoring for Data Drift
2020/07/26 18:36:18,3-19,1455,Model Training Basics
2020/07/26 18:36:18,3-20,1534,Model Training in Azure Machine Learning
2020/07/26 18:36:18,3-21,1463,Taxonomy of Azure Machine Learning
2020/07/26 18:36:18,3-22,1387,Training Classifiers
2020/07/26 18:36:18,3-23,1310,Training Regressors
